review_id,game_name,game_id,review_text,voted_up,votes_helpful,review_date,review_length,label
222353479,cs2,730,Hile olamasa müq oyun ama hile deryası olduğu için rezalet mq,True,0,2026-04-02,61,
222352267,cs2,730,haftalık maaşımı hemen yatırdığı için valve a teşekkür ederim,True,0,2026-04-02,61,
222352241,cs2,730,"ÇOK PAHALI 
",False,0,2026-04-02,13,
222351680,cs2,730,oynayın oynattırın,True,0,2026-04-02,18,
222351230,cs2,730,My favorite game😝,True,0,2026-04-02,17,
222350928,cs2,730,iyi işte kaç yıllık oyun amk benden daha yaşlı,True,0,2026-04-02,46,
222350409,cs2,730,güzel oyun,True,0,2026-04-02,10,
222350133,cs2,730,Fena değil ya oynanır,True,0,2026-04-02,21,
222349783,cs2,730,"oynayın lan
",True,0,2026-04-02,13,
222349754,cs2,730,HERKES HİLE PARANIZ YOKSA GELMEYİN,False,0,2026-04-02,34,
222349483,cs2,730,HİLE ÇOK HİLE GABE ÇÖZÜM BUL,True,0,2026-04-02,28,
222349348,cs2,730,cs:go kadar iyi olmasada idare eder,True,0,2026-04-02,35,
222349067,cs2,730,++ cs abi bambaşka,True,0,2026-04-02,18,
222348273,cs2,730,mirac diye bi lavuk var leş gibi oynuyo,True,0,2026-04-02,39,
222347382,cs2,730,"bu awq oyunu ilk başta bok gibi geldi sonra güzel gelmeye başladı rekoda çok hile var sadece faceit girin amk valveı banlamıyo oçları
",True,0,2026-04-02,135,
222346578,cs2,730,kasa düşürme özelliği olmasa oynamam,True,0,2026-04-02,36,
222346553,cs2,730,"Oyunu açtım, özgüven full.
İlk round: reset.

Grafikler efsane, ben yokum.
Mermiler net diyorlar, benimkiler tur atıyor.

Takım zaten hikâye.",False,0,2026-04-02,147,
222346456,cs2,730,biraz denedim fakat tam anlıyamadım,True,0,2026-04-02,35,
222345421,cs2,730,güzel oyun sardı,True,0,2026-04-02,16,
222344740,cs2,730,"evet ben bir botuöm ve bundan utaanmıyorum mal gibi oynayıp mal gibi pekleyip ölüyorum 
",True,0,2026-04-02,89,
222344099,cs2,730,Fantastico GAME Ultra CHEATİNG,True,0,2026-04-02,30,
222342646,cs2,730,ücretsiz diye alıyonuz oynuyonuz gerek yok abicim size zarar benden söylemesi,False,0,2026-04-02,77,
222342226,cs2,730,"anasını sikiyim böyle oyunun
",False,0,2026-04-02,29,
222342060,cs2,730,"Yeni seçkin aldım bant daralması erişim engeli falan gelirse......
Please Mr.Gabe help to Turkish players",True,0,2026-04-02,105,
222341790,cs2,730,Yeni başladım yeni yeni alışıyorum oyun eğlenceli duruyor biraz zaman vermemiz lazım oyuna iyi oynayabilmek için.Psikolojik olarak kendimi buna hazır hissediyorum,False,0,2026-04-02,162,
222341698,cs2,730,çok götü oyun para verip almayın,False,0,2026-04-02,32,
222341609,cs2,730,oyuna başlarken 18 yaşındaydım 614 saat sonunda 65 yaşına girdim konunun zamanla bir alakası yok.,True,0,2026-04-02,97,
222341315,cs2,730,"Bu oyunu oynayın, oynatın, oynattırın. Oyunu oynayarak hayatınızın birçok alanında kendinizi geliştirebilirsiniz. Mesela rusça öğrenmek ,argo kelimelerle şiir yazabilmek veya baskı altında takım arkadaşlarınızla konuşurken aynı anda mouse klavye kullanabilmek. Oynadıkca fark ediyosunuz ki geçen zaman hayat kalitenizi bir üst seviyeye çıkartmışç",True,0,2026-04-02,346,
222341227,cs2,730,"sıkınhtı yenı guncelleme bozmuş tüm
",True,0,2026-04-02,37,
222341139,cs2,730,no xantares peek today,True,0,2026-04-02,22,
222340272,cs2,730,"cs go yuda oynayabilseydim
",True,0,2026-04-02,27,
222339914,cs2,730,Harika Oyun Ekip İle Girin Acayip Zevkli Oynayın Oynatın...,True,0,2026-04-02,59,
222339260,cs2,730,2000 yılından bu yana oynadığım oyun  bırakmadıysak bir sebebi var oda oyun çok iyi ;),True,0,2026-04-02,86,
222338974,cs2,730,"ANASINI SİKTİĞİMİN OYUNUNDA HAYVAN GİBİ HİLE OLMASINA RAĞMEN EN GARİBAN OYUNCUSU OLAN BANA BAN ATIYOR AMINISİKTİĞİMİN OYUNU HAYVAN GİBİ HİLE GEZİYOR AMINAKODUMUN OYUNUNDA SİKTİR GİT GERÇEK HİLELERİ BANLA 1-2-1 GİTTİĞİM MAÇTA NE BANLIYON BENİ OROSPU ÇOCUKLARI
",False,0,2026-04-02,259,
222337943,cs2,730,davay davay priviyet,True,0,2026-04-02,20,
222337885,cs2,730,"awp ok gülü
",True,0,2026-04-02,13,
222337775,cs2,730,güzel sanki bilemedim.,True,0,2026-04-02,22,
222337294,cs2,730,yarak bigi oyun boyle bombe fln var,False,0,2026-04-02,35,
222337060,cs2,730,boşa geçmiş bir ömür,True,0,2026-04-02,20,
222336934,cs2,730,Mükemmel bir oyun,True,0,2026-04-02,17,
222336763,cs2,730,ÇOK SARIYO,True,0,2026-04-02,10,
222336345,cs2,730,cs cs'dir abicim niye burayı okuyonuz ya cs işte cs...,True,0,2026-04-02,54,
222336335,cs2,730,OYNAYIN HAYATINIZ SİKİLSİN,True,0,2026-04-02,26,
222335449,cs2,730,heryer hile dolu siz para kazanıcaksınız diye oyun oynayamıyoruz allah belanızı versin.,False,0,2026-04-02,87,
222335437,cs2,730,"müq ruslara sövmesi çok sevkli
",True,0,2026-04-02,32,
222335430,cs2,730,sürekli hileli rakiplere karlı oynamak çok sıkıcı. bot hesaplar valvenin cebine dokunduğu için onları banlamaktaki çabalarını hilecileri de banlamakta kullansalar çok seviniriz.,False,0,2026-04-02,177,
222335259,cs2,730,çok iyi oyun,True,0,2026-04-02,12,
222335207,cs2,730,always hackcheat,False,0,2026-04-02,16,
222335060,cs2,730,boş oyun oynamayın,True,0,2026-04-02,18,
222334898,cs2,730,oyun güzel sevmediğim yanı aşırıcı derecede hileci oldğu özellikle şikayet edip belirtmeme rağmen hiç bir şekilde hiç bir işlem yapılmıyor,True,0,2026-04-02,138,
222334752,cs2,730,HER OYUN HİLE DOLU 1 TANE ANTİ HİLE YAPAMADI VALVE REZİL BİR ŞİRKET,False,0,2026-04-02,67,
222334748,cs2,730,hileler olmasa çok güzel oyun,True,0,2026-04-02,29,
222334717,cs2,730,"mğkkkemel
",True,0,2026-04-02,10,
222333768,cs2,730,güzel bir oyun tebrikler,True,0,2026-04-02,24,
222333460,cs2,730,"çok iyi oyun
",True,0,2026-04-02,14,
222333178,cs2,730,ben çok sağlılıyım,True,0,2026-04-02,18,
222333067,cs2,730,hilecilerin amk,True,0,2026-04-02,15,
222332745,cs2,730,ne kadar rus varsa anasını sıkeyım,True,0,2026-04-02,34,
222332461,cs2,730,Oyun Güzel Açıkçası Alışmam Oyuna Biraz Uzun Sürdü Tavsiye Ederim,True,0,2026-04-02,65,
222331461,cs2,730,"müq
 tavsiye ederim
alın",True,0,2026-04-02,26,
222330976,cs2,730,great game too much russian and cheater,True,0,2026-04-02,39,
222330284,cs2,730,hile çok ama genel olarak iyi,True,0,2026-04-02,29,
222330215,cs2,730,AK var vuruyon HS var yiyon,False,0,2026-04-02,27,
222328522,cs2,730,valoya benzemez babba,True,0,2026-04-02,21,
222328439,cs2,730,hile siteleri ucuz,True,0,2026-04-02,18,
