review_id,game_name,game_id,review_text,voted_up,votes_helpful,review_date,review_length,label,cleaned_text
222353479,cs2,730,Hile olamasa müq oyun ama hile deryası olduğu için rezalet mq,True,0,2026-04-02,61,,hil olam müq oyun hil derya olduk rezalet mq
222352267,cs2,730,haftalık maaşımı hemen yatırdığı için valve a teşekkür ederim,True,0,2026-04-02,61,,haftalık maaş hemen yatırdık valve a teşekkür eder
222352241,cs2,730,"ÇOK PAHALI 
",False,0,2026-04-02,13,,pahali
222351680,cs2,730,oynayın oynattırın,True,0,2026-04-02,18,,oynay oynattır
222351230,cs2,730,My favorite game😝,True,0,2026-04-02,17,,my favori game😝
222350928,cs2,730,iyi işte kaç yıllık oyun amk benden daha yaşlı,True,0,2026-04-02,46,,iyi iş kaç yıllık oyun amk ben yaşl
222350409,cs2,730,güzel oyun,True,0,2026-04-02,10,,güzel oyun
222350133,cs2,730,Fena değil ya oynanır,True,0,2026-04-02,21,,fena değil oynanır
222349783,cs2,730,"oynayın lan
",True,0,2026-04-02,13,,oynay lan
222349754,cs2,730,HERKES HİLE PARANIZ YOKSA GELMEYİN,False,0,2026-04-02,34,,herkes hi̇le paraniz yoks gelmeyi̇n
222349483,cs2,730,HİLE ÇOK HİLE GABE ÇÖZÜM BUL,True,0,2026-04-02,28,,hi̇le hi̇le gabe çöz bul
222349348,cs2,730,cs:go kadar iyi olmasada idare eder,True,0,2026-04-02,35,,csgo kadar iyi olmasa idare eder
222349067,cs2,730,++ cs abi bambaşka,True,0,2026-04-02,18,,cs abi bambaşk
222348273,cs2,730,mirac diye bi lavuk var leş gibi oynuyo,True,0,2026-04-02,39,,mirac bi lavuk var leş oynuyo
222347382,cs2,730,"bu awq oyunu ilk başta bok gibi geldi sonra güzel gelmeye başladı rekoda çok hile var sadece faceit girin amk valveı banlamıyo oçları
",True,0,2026-04-02,135,,awq oyun ilk baş bok gelt sonr güzel gelme başl reko hil var sade faceit gir amk valveı banlamıyo oçlar
222346578,cs2,730,kasa düşürme özelliği olmasa oynamam,True,0,2026-04-02,36,,kas düşür özellik olma oynama
222346553,cs2,730,"Oyunu açtım, özgüven full.
İlk round: reset.

Grafikler efsane, ben yokum.
Mermiler net diyorlar, benimkiler tur atıyor.

Takım zaten hikâye.",False,0,2026-04-02,147,,oyun açt özgüven full i̇lk round reset grafik efsane ben yok merm net diyor benimk tur atıyor takım zaten hikâye
222346456,cs2,730,biraz denedim fakat tam anlıyamadım,True,0,2026-04-02,35,,biraz dene fakat tam anlıya
222345421,cs2,730,güzel oyun sardı,True,0,2026-04-02,16,,güzel oyun sart
222344740,cs2,730,"evet ben bir botuöm ve bundan utaanmıyorum mal gibi oynayıp mal gibi pekleyip ölüyorum 
",True,0,2026-04-02,89,,evet ben bir botuöm bun utaanmıyor mal oynayıp mal pekleyip ölüyor
222344099,cs2,730,Fantastico GAME Ultra CHEATİNG,True,0,2026-04-02,30,,fantastico game ultr cheati̇ng
222342646,cs2,730,ücretsiz diye alıyonuz oynuyonuz gerek yok abicim size zarar benden söylemesi,False,0,2026-04-02,77,,ücrets alıyo oynuyo gerek yok abiç siz zarar ben söyleme
