review_id,game_name,game_id,review_text,voted_up,votes_helpful,review_date,review_length,label,is_synthetic
165402739,pubg,578080.0,Hile dolu. Ve yapımcılar aptal doğru karar verdikleri tek güncelleme yok.,False,0.0,2024-05-15,73.0,bug(hata/hile),
169414886,pubg,578080.0,HATADAN GEÇİLMİYOR  10 SENEDE BİR BOKU DÜZELTEMEYEN MALLAR TARAFINDAN GÜNCELLENİYOR,False,0.0,2024-07-09,83.0,bug(hata/hile),
215247646,cs2,730.0,"hileli çok kışi var
",False,0.0,2026-01-05,21.0,bug(hata/hile),
151385490,pubg,578080.0,Eskisi gibi hile yok,True,0.0,2023-11-23,20.0,bug(hata/hile),
223202707,cs2,730.0,hileciler olmasa güzel olucak,True,0.0,2026-04-13,29.0,bug(hata/hile),
220732862,pubg,578080.0,oyun hata var acılmıyor,False,0.0,2026-03-15,23.0,bug(hata/hile),
213746995,cs2,730.0,takımınıza hile geliyorsa kesin cözüm buldum,False,0.0,2025-12-20,44.0,bug(hata/hile),
212841651,cs2,730.0,adamlar hileyle seçkin modunda dünya 1.si olacak neredeyse valvenin umrunda değil,True,0.0,2025-12-08,81.0,bug(hata/hile),
79945955,dota2,570.0,moba hatadır.,True,0.0,2020-11-25,13.0,bug(hata/hile),
170811325,pubg,578080.0,oyun ♥♥♥ güzel hile yok olan kişilere anın da müdahale ediliyor  şiddetle tavsiye ederim,True,0.0,2024-07-26,88.0,bug(hata/hile),
213060200,cs2,730.0,oyunu biraz oynama şansım oldu oynanabilir bir oyun ara sıra hile gelir dikkat etmek lazım !,False,0.0,2025-12-11,92.0,bug(hata/hile),
130392735,pubg,578080.0,aksamdan aksama 1-2 saat atlayıp savaşıyoruz arada hileler gelmese aksam arkadaslarla girip takılmak için iyi oyun ama tek basına oynamak sıkıcı olabilir.,True,0.0,2023-01-08,154.0,bug(hata/hile),
114032918,pubg,578080.0,good but hile var,True,0.0,2022-04-17,17.0,bug(hata/hile),
102993940,pubg,578080.0,"adamsınızlan
",True,0.0,2021-11-18,13.0,bug(hata/hile),
36096245,dota2,570.0,"Hayatınızdan memnunsanız başlamayın, kimseyide başlatmayın. Oyun sarmaya başlayınca bırakamıyorsunuz. Her hafta bi heroyu nerflüyorlar hala bazı heroların salak salak yetenekleri var. Ama oyun güzel hoş.",True,0.0,2017-10-29,203.0,bug(hata/hile),
221383712,cs2,730.0,"CS2, özellikle rekabetçi oyuncular için güçlü bir temel sunuyor ama hâlâ tam oturmuş değil.
Doğru ayar ve sistem optimizasyonuyla çok keyifli, ama teknik sorunlar zaman zaman deneyimi etkileyebiliyor.",True,0.0,2026-03-22,200.0,bug(hata/hile),
107856519,pubg,578080.0,Oyunu indirdim ancak sürekli çökme hatası veriyor. Bir çözümünü bulamadım.,True,0.0,2022-01-12,74.0,bug(hata/hile),
166031583,pubg,578080.0,hileler dışında hiç bir sorun yaşamadım,True,0.0,2024-05-25,39.0,bug(hata/hile),
145452376,pubg,578080.0,her güncellemede pc yenilemek mi gerekiyor. nedir optimizasyon sorunu?,False,0.0,2023-09-01,70.0,bug(hata/hile),
214183827,cs2,730.0,Eskisi tadı yok.OYUN MEKANİĞİ BOZUK MERMİLER GİTMİYOR OLMICAK MERMİLER GİDİYOR,False,0.0,2025-12-25,78.0,bug(hata/hile),
203830253,pubg,578080.0,Bu oyunu en başta kuran Krafton Game Union ve yönetmen Brendan Greenein annesinin amına beton dökerek sike sike öldüreyim orospu çocukları optimizasyonunuzu alın ananızın bacınızın amında gir,False,0.0,2025-09-07,191.0,bug(hata/hile),
126397760,pubg,578080.0,wc deki bok çukuru gibi hile dolu,False,0.0,2022-11-23,33.0,bug(hata/hile),
29627474,dota2,570.0,Her gün Güncelleme yapılmamalı Bir Güncelleştirmede Hepsini Tamamlamalı Yoksa Oyunu Oynayan Kimse Kalmayacak Oyunu Ne Zaman Açsam 100 mb lik bi indirme var.Bu konu Hakkında Daha ♥♥♥ çalışılması Gerekiyor.Onun Dışında Oyun mükemel,True,0.0,2017-02-01,229.0,bug(hata/hile),
218087992,cs2,730.0,Çok Güzel Fps Oyunu Öneririm,True,0.0,2026-02-11,28.0,bug(hata/hile),
142050694,pubg,578080.0,"mmm ai battle royale gittiği için sevmemeyebaşladım ben csgo da banlanırım hep
bari botlarla oyniyim 10/10 veririm",True,0.0,2023-07-14,114.0,bug(hata/hile),
220449515,cs2,730.0,"Türkiye’de ciddi bir oyuncu kitlesi var ama hala düzgün bir türkiye serveri yok, sürekli yüksek pingle oynamak zorunda kalıyoruz. artık türkiye serveri getirin...",True,0.0,2026-03-11,162.0,bug(hata/hile),
192762579,pubg,578080.0,Neden hilelere daha önlem alınmıyor  her 2 macımdan 1 tanesınde hıle cıkıyor ve oyundan zevk almamızı engelliyor.,False,0.0,2025-04-14,113.0,bug(hata/hile),
168362079,pubg,578080.0,en az 10 tane inceleme yazmışımdır hepsini silip silip geri yazdım bu oyun gerçekten artık cehennemin dibini gördü söylenecek birşey yok çocuk oyunu olmuş saçma sapan anime kostümleri dansları falan getirmişler oyun şu anda totalde günlük 500k oynanıyo normalde bundan 3-4 ay önce 800k-900k civarı gayet görüyodu insanlar gerizekalımı da bu oyunu oynamıyor peki ? hayır önce hile sorununu çözeceksin sonra da o pompalamış olduğunuz asya kültürünü kökten kaldıracaksınız buna getirdiğiniz çin mapleri dansları da silah skinleri de kostümleri de dahil ondan sonra bir nebze belki oyun düzelebilir ama sanmıyorum böyle birşey olacağını çünkü oyun eski popüleritesini artık kaybetti adamlarda şöyle bir mantık var pay to win bile değil adamlar battle eye diye bir anticheat yapmış bu anticheati fixlemiyolar oyuna giriyosun wallhackcilerinden tut aimlockuna kadar her bok var makrocuları söylemiyorum bile normalde otomatik banlanmaları gerekirken banlanmıyor bu adamlar yani mesela eğer 200 300 levellik bi adam hileyse en az 20-30 tane ticket almışsa banlanması için bi 20-30 daha ticket yemesi lazım ama eğerki 30 levellik adam 10 tane ticket yemişse otomatik olarak ban yiyor yani demek oluyor ki biz bunu fixlemiyoruz isteyen istediği gibi alsın hilesini oynasın yeter ki para kazanayım böyle bir mantıkla hareket ediyolar malesef adam gidiyor oyunla zerre alakası olmayan siktiriboktan elin yayıncılarına sponsor oluyor bilmem ne siksok lumpur turnuvasını yayıncılar izlesin diye para veriyor ama anticheatine yatırım yapmıyor bohohhoyt fıkra bu kadar emeği geçen herkesin...,False,0.0,2024-06-27,1577.0,bug(hata/hile),
155064611,pubg,578080.0,Çok hile var ve herhangi bir düzeltme yapılmıyor,False,0.0,2024-01-02,48.0,bug(hata/hile),
221503161,cs2,730.0,hileler olmasa güzel oyun bro ya,False,0.0,2026-03-23,32.0,bug(hata/hile),
218379479,cs2,730.0,Oyun güzel fakat hile çok yani rapor tuşuda gereksiz var adamı rapor ediyorum adam banlanmıyor onun dışında güzel,True,0.0,2026-02-15,113.0,bug(hata/hile),
143409534,pubg,578080.0,iyi hile yok artık,True,0.0,2023-08-04,18.0,bug(hata/hile),
216465377,cs2,730.0,"oyun çok iyi ama çok hile var
",True,0.0,2026-01-21,31.0,bug(hata/hile),
216974417,cs2,730.0,Çok fazla hile var. Online oyunların yüz karası bir sistem.,False,0.0,2026-01-27,59.0,bug(hata/hile),
117482885,pubg,578080.0,fazlasıyla  hile dolu oyun,True,0.0,2022-06-23,26.0,bug(hata/hile),
107396645,pubg,578080.0,Hileci dolu. Cezalar caydırıcı değil. Sinir bozmaktan başka bir işe yaramaz...,False,0.0,2022-01-05,78.0,bug(hata/hile),
221348045,cs2,730.0,Hep mi hile gelir kardeşim hep mi valvenin de hilecilerin de ....,False,0.0,2026-03-22,65.0,bug(hata/hile),
90265254,dota2,570.0,bu kadar player bolluğu olduğunu idda edip online oyunda BOT player atayıp oyun oynatmak nedir ? bu kadar anlamsızca bişi görmedim ben botlarla birlikte online oynamak isteyenler buyursun DOTA 2 anlamsızlığına .,False,0.0,2021-04-13,211.0,bug(hata/hile),
222756219,cs2,730.0,çok fazla hile var... oyun oynanmıyor seçknide bile,True,0.0,2026-04-07,51.0,bug(hata/hile),
217569436,cs2,730.0,para yatırıp seçkin almadıgınız surece hileden oynayamazsınız,False,0.0,2026-02-04,61.0,bug(hata/hile),
214807007,cs2,730.0,Rekabetçi bir oyun fakat  hile ve toxic  oyuncusu çok olduğu  için  oyun   itici  gelmeye  başlıyor,False,0.0,2026-01-01,99.0,bug(hata/hile),
58388611,dota2,570.0,çok eğlenerek oynadığım bir oyun tek hilesiz oyun sanırım :),True,0.0,2019-11-28,60.0,bug(hata/hile),
202596238,pubg,578080.0,derecesiz takılıyorsanız 500 leveller hayatınızı s*kebilir dikkat edin mobilden çok farklı,True,0.0,2025-08-21,90.0,bug(hata/hile),
140549816,pubg,578080.0,"Oynamayın oynatmayın. İyi bir sistemle bile oynatmayacak kadar donuyor. Hatta yükleme ekranından çıkamadım şahsen.

Kısacası optimizasyon yok. Bu oyunu zamanında parayla alan kafamı...",False,0.0,2023-06-23,184.0,bug(hata/hile),
213835141,cs2,730.0,hileler hala çok banlanmıyor,True,0.0,2025-12-21,28.0,bug(hata/hile),
222769612,cs2,730.0,oynamayın abi bu oyunu millet ak47 kullanarak hoplaya zıplaya adam vuruyor. bu valve kimleri banlıyor acaba çok merak ediyorum.,False,0.0,2026-04-07,127.0,bug(hata/hile),
218928618,cs2,730.0,rezil bir oyundur. yıllardır hilelere çare bulunmaz. oyuna girip bazı annesizlerin hileyle oyun oynamasına ayak uydurur sinir hastası olur çıkarsınız. keyif falan da alamazsınız. oyunun rezil eşleştirme sistemi sizi iyi oynadığınız için bildirdiklerinde hemen düşük güven faktörüne alır. böylelikle sürekli hilecilerle eşleşirsiniz. gerçi hilecilerle eşleşmeme gibi bir ihtimaliniz yok denecek kadar azdır. siz hile denk gelmesin diye oyunu satın alırsınız fakat bedavaya indirip hileyle level kasanlar seçkin olup tekrar sizin maçlarınıza denk gelebilirler. kesinlikle tavsiye etmiyorum.,False,0.0,2026-02-22,588.0,bug(hata/hile),
220580982,cs2,730.0,Oyundan haksız yere banlandım oysaki alt tarafı klavye değiştirmiştim....,False,0.0,2026-03-13,73.0,bug(hata/hile),
218001082,cs2,730.0,Bana haksız yere ban atan valven anasını avradını sikeyim hermaç karşıya gelen hileler oyunda cirit atıyor ben şurda günde eğlencesine bir maç giriyorum neyi götüne battıda ban attın oe valve oynayanı oynattıranı sikeyim senin gibi oyunu hesabın içindeki skinlere yazık amk hile aççak adam skinmi alır be,False,0.0,2026-02-10,304.0,bug(hata/hile),
221679896,cs2,730.0,deliler gibi hile gelmeye devam ediyor saçma sapan güncellemeler var ama asla oyun içi çözümleme amaçlanmıyor,False,0.0,2026-03-25,109.0,bug(hata/hile),
217251747,cs2,730.0,"ya kardeşim bak oyunda hileci çok maçımıza hileci çıkıyor,oyun keyfini s*k*yor sinir oluyorsun ,doğal olarak maçtan çıkmak isterken ban yiyorsun ya en son 1 ay ban yedim hileci var diye ya , peki biz çıktık diye ban yerken onlar neden insanları sinir etti diye ban yemiyor ya hileci çok ya bi el atın ,en azından maçtan çıkınca ban yemeyelim.",False,0.0,2026-01-31,342.0,bug(hata/hile),
